Essai;Temps_frame;Temps_sequence;Pixel_par_seconde
366;0.177709;35.364000;432168306.752744
367;0.154352;30.716000;497564787.081853
368;0.265920;52.918000;288809100.873020
369;0.166206;33.075000;462077097.505617
370;0.180397;35.899000;425727736.148338
371;0.179337;35.688000;428244788.163956
372;0.167693;33.371000;457978484.312741
373;0.180291;35.878000;425976921.790551
374;0.204357;40.667000;375813313.005311
375;0.173080;34.443000;443724414.249727
376;0.185925;36.999000;413070623.530388
377;0.166834;33.200000;460337349.397136
378;0.184281;36.672000;416753926.701699
379;0.170648;33.959000;450048588.003094
380;0.179231;35.667000;428496929.935019
381;0.201211;40.041000;381688769.011742
382;0.158090;31.460000;485797838.524960
383;0.230603;45.890000;333039877.969160
384;0.193508;38.508000;396883764.412734
385;0.194000;38.606000;395876288.659378
386;0.171156;34.060000;448714034.057543
387;0.213146;42.416000;360316861.561439
388;0.169121;33.655000;454113801.812515
389;0.192734;38.354000;398477342.650068
390;0.191482;38.105000;401081222.936755
391;0.192141;38.236000;399707082.330403
392;0.091668;18.242000;837802872.492180
393;0.181734;36.165000;422596433.015507
394;0.221804;44.139000;346251614.218625
395;0.201302;40.059000;381517262.038161
396;0.168965;33.624000;454532476.802193
397;0.181497;36.118000;423146353.619047
398;0.175010;34.827000;438831940.735861
399;0.171171;34.063000;448674514.869604
400;0.187819;37.376000;408904109.588827
401;0.167668;33.366000;458047113.828533
402;0.153397;30.526000;500661730.983569
403;0.152990;30.445000;501993759.238083
404;0.166588;33.151000;461017767.186854
405;0.188633;37.538000;407139432.042143
406;0.182246;36.267000;421407891.471725
407;0.210412;41.872000;364998089.415317
408;0.156794;31.202000;489814755.464443
409;0.192126;38.233000;399738445.845268
410;0.167884;33.409000;457457571.312648
411;0.181628;36.144000;422841965.471362
412;0.200643;39.928000;382768984.171443
413;0.197839;39.370000;388194056.387886
414;0.163508;32.538000;469703116.356226
415;0.193995;38.605000;395886543.193372
416;0.157990;31.440000;486106870.228679
417;0.202070;40.212000;380065652.044196
418;0.167266;33.286000;459147990.146100
419;0.155884;31.021000;492672705.586666
420;0.200186;39.837000;383643346.637391
421;0.184477;36.711000;416311187.382202
422;0.175472;34.919000;437675763.910248
423;0.177693;35.361000;432204971.578620
424;0.165030;32.841000;465369507.627291
425;0.166749;33.183000;460573185.064725
426;0.193704;38.547000;396482216.514928
427;0.178789;35.579000;429556761.010770
428;0.165106;32.856000;465157048.940698
429;0.179141;35.649000;428713287.890185
430;0.183714;36.559000;418042068.984376
431;0.197452;39.293000;388954775.659956
432;0.165809;32.996000;463183416.171797
433;0.190487;37.907000;403176194.370578
434;0.183864;36.589000;417699308.535522
435;0.161206;32.080000;476408977.556207
436;0.198714;39.544000;386485939.712419
437;0.174779;34.781000;439412322.819631
438;0.179166;35.654000;428653166.545117
439;0.195754;38.955000;392329611.089741
440;0.173382;34.503000;442952786.714142
441;0.153613;30.569000;499957473.257282
442;0.216251;43.034000;355142445.508272
443;0.197467;39.296000;388925081.433223
444;0.180538;35.927000;425395941.771097
445;0.199121;39.625000;385695899.053308
446;0.194653;38.736000;394547707.559040
447;0.193894;38.585000;396091745.497015
448;0.166558;33.145000;461101221.904038
449;0.150874;30.024000;509032773.780658
450;0.250307;49.811000;306823793.941064
451;0.179608;35.742000;427597784.119917
452;0.182030;36.224000;421908127.208803
453;0.180854;35.990000;424651292.025919
454;0.180085;35.837000;426464268.772277
455;0.153030;30.453000;501861885.528438
456;0.170186;33.867000;451271148.906194
457;0.176673;35.158000;434700494.908533
458;0.214598;42.705000;357878468.563208
459;0.143302;28.517000;535932952.273733
460;0.202101;40.218000;380008951.215980
461;0.164432;32.722000;467061915.531144
462;0.166779;33.189000;460489921.359583
463;0.191734;38.155000;400555628.358091
464;0.225196;44.814000;341036283.304361
465;0.154020;30.650000;498636215.334340
466;0.168608;33.553000;455494292.611816
467;0.175749;34.974000;436987476.411070
468;0.183266;36.470000;419062242.939673
469;0.185116;36.838000;414875943.319564
470;0.192905;38.388000;398124413.879656
471;0.157367;31.316000;488031677.098074
472;0.179724;35.765000;427322801.621596
473;0.179000;35.621000;429050279.329407
474;0.198598;39.521000;386710862.579556
475;0.169121;33.655000;454113801.812707
476;0.191146;38.038000;401787685.998322
477;0.174206;34.667000;440857299.449329
478;0.161528;32.144000;475460428.073738
479;0.178905;35.602000;429279253.974615
480;0.181045;36.028000;424203397.357632
481;0.215864;42.957000;355779034.848851
482;0.153281;30.503000;501039242.041658
483;0.177935;35.409000;431619079.895229
484;0.157191;31.281000;488577730.891124
485;0.205387;40.872000;373928361.714587
486;0.181417;36.102000;423333887.319266
487;0.178744;35.570000;429665448.411799
488;0.167477;33.328000;458569371.099266
489;0.191784;38.165000;400450674.701735
490;0.192809;38.369000;398321561.677144
491;0.214643;42.714000;357803062.227572
492;0.164126;32.661000;467934233.489673
493;0.144462;28.748000;531626547.933502
494;0.181693;36.157000;422689935.558655
495;0.177231;35.269000;433332388.215981
496;0.163834;32.603000;468766677.913204
497;0.179693;35.759000;427394502.083619
498;0.180286;35.877000;425988795.049593
499;0.181121;36.043000;424026856.810263
