Essai;Temps_frame;Pixel_par_seconde
65;0.264920;52.719000;289899277.300393
66;0.248302;49.412000;309301384.279132
67;0.248166;49.385000;309470486.989999
68;0.248372;49.426000;309213774.126945
69;0.197080;39.219000;389688671.307260
70;0.248025;49.357000;309646048.179592
71;0.248060;49.364000;309602139.210760
72;0.249075;49.566000;308340394.625351
73;0.198804;39.562000;386310095.546222
74;0.263915;52.519000;291003255.964509
75;0.248387;49.429000;309195006.979720
76;0.231618;46.092000;331580317.625620
77;0.231583;46.085000;331630682.434640
78;0.213593;42.505000;359562404.423045
79;0.224995;44.774000;341340956.805219
80;0.237211;47.205000;323762313.314286
81;0.262859;52.309000;292171519.241395
82;0.183332;36.483000;418912918.345535
83;0.213533;42.493000;359663944.649652
84;0.213779;42.542000;359249682.666563
85;0.200618;39.923000;382816922.575925
86;0.209734;41.737000;366178690.370675
87;0.248905;49.532000;308552047.161430
88;0.247894;49.331000;309809247.734721
89;0.214171;42.620000;358592210.229966
90;0.230950;45.959000;332539872.495096
91;0.248819;49.515000;308657982.429575
92;0.265362;52.807000;289416175.885775
93;0.265432;52.821000;289339467.257313
94;0.213698;42.526000;359384846.917146
95;0.231186;46.006000;332200147.806806
96;0.226583;45.090000;338948769.128369
97;0.201302;40.059000;381517262.038499
98;0.179704;35.761000;427370599.256184
99;0.247955;49.343000;309733903.491825
100;0.248658;49.483000;308857587.454297
101;0.248437;49.439000;309132466.271559
102;0.266407;53.015000;288280675.280570
103;0.210930;41.975000;364102441.929752
104;0.189613;37.733000;405035380.171200
105;0.189769;37.764000;404702891.642843
106;0.230995;45.968000;332474765.053936
107;0.231357;46.040000;331954821.894021
108;0.231538;46.076000;331695459.675317
109;0.231603;46.089000;331601900.670427
110;0.212623;42.312000;361202495.745896
111;0.215513;42.887000;356359736.050556
112;0.274678;54.661000;279599714.604538
113;0.289226;57.556000;265536173.465826
114;0.280231;55.766000;274059462.755100
115;0.242497;48.257000;316704312.327754
116;0.186704;37.154000;411347365.021281
117;0.246618;49.077000;311412678.036563
118;0.213724;42.531000;359342597.164396
119;0.205935;40.981000;372933798.589571
120;0.290312;57.772000;264543377.414644
121;0.374236;74.473000;205217998.469258
122;0.227447;45.262000;337660730.855911
123;0.313859;62.458000;244695635.467015
124;0.300186;59.737000;255841438.304579
125;0.281005;55.920000;273304721.030015
126;0.264090;52.554000;290809453.133906
127;0.283151;56.347000;271233606.048234
128;0.252372;50.222000;304312850.941777
129;0.279859;55.692000;274423615.600053
130;0.246548;49.063000;311501538.837796
131;0.204538;40.703000;375480922.782124
132;0.238829;47.527000;321568792.475852
133;0.277779;55.278000;276478888.527093
134;0.246563;49.066000;311482492.968689
135;0.211462;42.081000;363185285.520816
136;0.337658;67.194000;227448879.364233
137;0.388503;77.312000;197682119.205307
138;0.306085;60.911000;250910344.601147
139;0.249075;49.566000;308340394.625356
140;0.277171;55.157000;277085410.736632
141;0.220980;43.975000;347542922.114792
142;0.247065;49.166000;310848960.663882
143;0.266151;52.964000;288558265.991979
144;0.248281;49.408000;309326424.870446
145;0.261276;51.994000;293941608.647098
146;0.238372;47.436000;322185681.760680
147;0.268080;53.348000;286481217.665182
148;0.286623;57.038000;267947684.000164
149;0.260824;51.904000;294451294.697871
150;0.292960;58.299000;262152009.468335
151;0.357618;71.166000;214754236.573624
152;0.302156;60.129000;254173526.917121
153;0.214065;42.599000;358768985.187528
154;0.255085;50.762000;301075607.737994
155;0.288497;57.411000;266206824.476153
156;0.330065;65.683000;232681211.272380
157;0.289663;57.643000;265135402.390598
158;0.269176;53.566000;285315311.951516
159;0.298377;59.377000;257392593.091565
160;0.319804;63.641000;240147074.998860
161;0.347392;69.131000;221075928.309990
162;0.295347;58.774000;260033348.079092
163;0.289231;57.557000;265531560.018751
164;0.367648;73.162000;208895328.175804
165;0.359367;71.514000;213709203.792210
166;0.261035;51.946000;294213221.422191
167;0.264055;52.547000;290848193.046203
168;0.287271;57.167000;267343047.562373
169;0.257472;51.237000;298284442.882967
170;0.231990;46.166000;331048823.809734
171;0.245503;48.855000;312827755.603318
172;0.287673;57.247000;266969448.180706
173;0.320236;63.727000;239822994.962935
174;0.281910;56.100000;272427807.486671
175;0.314387;62.563000;244284960.759586
176;0.268216;53.375000;286336299.765794
177;0.283015;56.320000;271363636.363690
178;0.247613;49.275000;310161339.421760
179;0.279402;55.601000;274872754.087142
180;0.252714;50.290000;303901372.042175
181;0.319492;63.579000;240381257.962539
182;0.272121;54.152000;282227803.220628
183;0.282196;56.157000;272151290.133068
184;0.232930;46.353000;329713287.165905
185;0.278387;55.399000;275875015.794511
186;0.303538;60.404000;253016356.532635
187;0.333312;66.329000;230415052.239582
188;0.280975;55.914000;273334048.717684
189;0.326714;65.016000;235068290.882283
190;0.270201;53.770000;284232843.593044
191;0.357487;71.140000;214832724.205781
192;0.274362;54.598000;279922341.477699
193;0.298829;59.467000;257003043.704929
194;0.289980;57.706000;264845943.229394
195;0.244382;48.632000;314262214.180047
196;0.230965;45.962000;332518167.181576
197;0.257452;51.233000;298307731.345136
198;0.247106;49.174000;310798389.392742
199;0.226915;45.156000;338453361.679495
