Essai;Temps_frame;Pixel_par_seconde
90;0.046819;9.317000;1640356337.876956
91;0.036045;7.173000;2130656629.025616
92;0.025482;5.071000;3013843423.387864
93;0.043980;8.752000;1746252285.191782
94;0.031744;6.317000;2419376286.211760
95;0.039312;7.823000;1953623929.438662
96;0.037804;7.523000;2031529974.744313
97;0.051709;10.290000;1485247813.411011
98;0.034055;6.777000;2255157149.181190
99;0.013769;2.740000;5577810218.977722
100;0.051302;10.209000;1497032030.561234
101;0.010226;2.035000;7510171990.172777
102;0.021558;4.290000;3562517482.517654
103;0.053558;10.658000;1433965096.641088
104;0.015719;3.128000;4885933503.835246
105;0.027382;5.449000;2804771517.709767
106;0.027935;5.559000;2749271451.700065
107;0.037442;7.451000;2051160917.997588
108;0.045844;9.123000;1675238408.418203
109;0.015794;3.143000;4862615335.666893
110;0.039709;7.902000;1934092634.775852
111;0.027744;5.521000;2768194167.723295
112;0.017995;3.581000;4267858140.184768
113;0.064925;12.920000;1182910216.718262
114;0.038025;7.567000;2019717193.075109
115;0.023889;4.754000;3214808582.246130
116;0.021457;4.270000;3579203747.071858
117;0.041623;8.283000;1845128576.602473
118;0.041799;8.318000;1837364751.142140
119;0.018075;3.597000;4248874061.718275
120;0.023653;4.707000;3246908859.146707
121;0.051739;10.296000;1484382284.382464
122;0.059116;11.764000;1299149948.997001
123;0.055698;11.084000;1378852399.855912
124;0.012573;2.502000;6108393285.372234
125;0.037558;7.474000;2044848809.205068
126;0.019216;3.824000;3996652719.664756
127;0.002116;0.421000;36302137767.220497
128;0.051613;10.271000;1487995326.647759
129;0.029452;5.861000;2607609622.931485
130;0.013975;2.781000;5495577130.529180
131;0.056070;11.158000;1369707832.944999
132;0.038126;7.587000;2014393040.727734
133;0.037618;7.486000;2041570932.407616
134;0.009940;1.978000;7726592517.692769
135;0.038940;7.749000;1972280294.231456
136;0.022467;4.471000;3418295683.293260
137;0.019050;3.791000;4031442891.057898
138;0.014764;2.938000;5201906058.541071
139;0.037457;7.454000;2050335390.394460
140;0.052035;10.355000;1475924674.070196
141;0.020593;4.098000;3729428989.750955
142;0.055030;10.951000;1395598575.472427
143;0.028196;5.611000;2723792550.347300
144;0.041965;8.351000;1830104179.140175
145;0.030055;5.981000;2555291757.231226
146;0.051367;10.222000;1495128154.959995
147;0.037568;7.476000;2044301765.650070
148;0.047739;9.500000;1608757894.736944
149;0.000080;0.016000;955199999999.044678
150;0.027935;5.559000;2749271451.700120
151;0.013688;2.724000;5610572687.224775
152;0.000000;0.000000;inf
153;0.025543;5.083000;3006728310.053805
154;0.024151;4.806000;3180024968.789690
155;0.047704;9.493000;1609944169.387937
156;0.013784;2.743000;5571709806.780568
157;0.013769;2.740000;5577810218.977270
158;0.027769;5.526000;2765689467.969305
159;0.060126;11.965000;1277325532.804130
160;0.051281;10.205000;1497618814.306677
161;0.010568;2.103000;7267332382.308800
162;0.038337;7.629000;2003303185.214635
163;0.040668;8.093000;1888446805.881441
164;0.021779;4.334000;3526349792.339952
165;0.029317;5.834000;2619677751.114505
166;0.026653;5.304000;2881447963.799953
167;0.027658;5.504000;2776744186.046311
168;0.027905;5.553000;2752242031.334674
169;0.061467;12.232000;1249444081.098823
