Essai;Temps_frame;Pixel_par_seconde
113;0.009236;1.838000;8315125136.020394
114;0.023693;4.715000;3241399787.911821
115;0.038251;7.612000;2007777193.904316
116;0.041357;8.230000;1857010935.601568
117;0.045141;8.983000;1701346988.756715
118;0.037382;7.439000;2054469686.785559
119;0.027769;5.526000;2765689467.969749
120;0.013834;2.753000;5551471122.411903
121;0.042387;8.435000;1811879075.282239
122;0.023759;4.728000;3232487309.643866
123;0.051025;10.154000;1505140831.199824
124;0.037296;7.422000;2059175424.413524
125;0.050688;10.087000;1515138296.817626
126;0.037090;7.381000;2070613737.975176
127;0.024497;4.875000;3135015384.616123
128;0.037563;7.475000;2044575250.836026
129;0.050668;10.083000;1515739363.284927
130;0.030352;6.040000;2530331125.827703
131;0.041251;8.209000;1861761481.301132
132;0.040322;8.024000;1904685942.173578
133;0.028568;5.685000;2688337730.870426
134;0.000010;0.002000;7641600000628.648438
135;0.042362;8.430000;1812953736.655152
136;0.050734;10.096000;1513787638.668564
137;0.031181;6.205000;2463045930.701129
138;0.002437;0.485000;31511752577.315125
139;0.050854;10.120000;1510197628.458545
140;0.029377;5.846000;2614300376.325685
141;0.027442;5.461000;2798608313.495501
142;0.027377;5.448000;2805286343.612159
143;0.013834;2.753000;5551471122.412352
144;0.000000;0.000000;inf
145;0.029106;5.792000;2638674033.148960
146;0.050774;10.104000;1512589073.634154
147;0.016543;3.292000;4642527339.003856
148;0.044131;8.782000;1740286950.580676
149;0.038709;7.703000;1984058159.158937
150;0.008879;1.767000;8649235993.207380
151;0.036719;7.307000;2091583413.165408
152;0.023754;4.727000;3233171144.489004
153;0.013025;2.592000;5896296296.296967
154;0.013879;2.762000;5533381607.531802
155;0.027116;5.396000;2832320237.212656
156;0.000000;0.000000;inf
157;0.036040;7.172000;2130953708.867700
158;0.023503;4.677000;3267735728.030294
159;0.023347;4.646000;3289539388.720903
160;0.053302;10.607000;1440859809.559720
161;0.015251;3.035000;5035650741.350337
162;0.027623;5.497000;2780280152.810019
163;0.031653;6.299000;2426289887.284017
164;0.054317;10.809000;1413932833.749557
165;0.041739;8.306000;1840019263.183405
166;0.026221;5.218000;2928938290.532553
167;0.012894;2.566000;5956040530.007636
168;0.029774;5.925000;2579443037.975282
169;0.066839;13.301000;1149026388.993442
170;0.050412;10.032000;1523444976.076583
171;0.021462;4.271000;3578365722.314464
172;0.048804;9.712000;1573640856.672024
173;0.037764;7.515000;2033692614.770356
174;0.060658;12.071000;1266108855.935533
175;0.049397;9.830000;1554750762.970146
176;0.039894;7.939000;1925078725.279582
177;0.031070;6.183000;2471809801.067512
178;0.050608;10.071000;1517545427.464907
179;0.049603;9.871000;1548292979.434574
180;0.049899;9.930000;1539093655.589641
181;0.006020;1.198000;12757262103.505499
182;0.026789;5.331000;2866854248.734313
183;0.034734;6.912000;2211111111.111244
184;0.047719;9.496000;1609435551.811561
185;0.047533;9.459000;1615731049.793867
186;0.083121;16.541000;923958648.207501
187;0.049588;9.868000;1548763680.583672
188;0.021111;4.201000;3637990954.534338
189;0.058286;11.599000;1317630830.244047
190;0.043452;8.647000;1767456921.475642
191;0.044558;8.867000;1723604375.775528
192;0.052894;10.526000;1451947558.426380
193;0.053543;10.655000;1434368840.919685
194;0.024849;4.945000;3090637007.077177
195;0.036111;7.186000;2126802115.223743
196;0.011005;2.190000;6978630136.987282
197;0.043040;8.565000;1784378283.712613
198;0.059231;11.787000;1296614914.736673
199;0.031156;6.200000;2465032258.063728
200;0.050568;10.063000;1518751863.261798
201;0.012111;2.410000;6341576763.483079
202;0.018221;3.626000;4214892443.462947
203;0.057889;11.520000;1326666666.666695
204;0.002236;0.445000;34344269662.867718
205;0.043196;8.596000;1777943229.409247
206;0.041764;8.311000;1838912284.924293
207;0.064538;12.843000;1190002335.902730
208;0.054849;10.915000;1400201557.489721
209;0.046166;9.187000;1663568085.337927
210;0.039729;7.906000;1933114090.564299
211;0.037749;7.512000;2034504792.332459
212;0.024819;4.939000;3094391577.242479
213;0.029824;5.935000;2575096882.899594
214;0.044151;8.786000;1739494650.581224
215;0.042442;8.446000;1809519299.076353
216;0.054623;10.870000;1405998160.073347
217;0.101598;20.218000;755920466.910696
218;0.004312;0.858000;17812587412.586887
219;0.022367;4.451000;3433655358.344054
220;0.046417;9.237000;1654563169.860077
221;0.062930;12.523000;1220410444.781964
222;0.056854;11.314000;1350821990.454511
223;0.066563;13.246000;1153797372.792010
224;0.013332;2.653000;5760723709.009598
225;0.051874;10.323000;1480499854.693391
226;0.016568;3.297000;4635486806.188231
227;0.071839;14.296000;1069054280.917749
228;0.083251;16.567000;922508601.436579
229;0.046819;9.317000;1640356337.876565
230;0.050683;10.086000;1515288518.739140
231;0.031241;6.217000;2458291780.601082
232;0.029508;5.872000;2602724795.640480
